"Assay "	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[genotype]"	"Sample Characteristic Ontology Term[genotype]"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[phenotype]"	"Sample Characteristic Ontology Term[phenotype]"	"Factor Value[phenotype]"	"Factor Value Ontology Term[phenotype]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"SAMEA4650608"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077919"	
"SAMEA4650609"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077920"	
"SAMEA4650610"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077921"	
"SAMEA4650611"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077922"	
"SAMEA4650612"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077923"	
"SAMEA4650613"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077924"	
"SAMEA4650614"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077925"	
"SAMEA4650615"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077926"	
"SAMEA4650616"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077927"	
"SAMEA4650617"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077928"	
"SAMEA4650618"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077929"	
"SAMEA4650619"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077930"	
"SAMEA4650620"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077931"	
"SAMEA4650621"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077932"	
"SAMEA4650622"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077933"	
"SAMEA4650623"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077934"	
"SAMEA4650624"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077935"	
"SAMEA4650625"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077936"	
"SAMEA4650626"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077937"	
"SAMEA4650627"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077938"	
"SAMEA4650628"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077939"	
"SAMEA4650629"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077940"	
"SAMEA4650630"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077941"	
"SAMEA4650631"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077942"	
"SAMEA4650632"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077943"	
"SAMEA4650633"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077944"	
"SAMEA4650634"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077945"	
"SAMEA4650635"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077946"	
"SAMEA4650636"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077947"	
"SAMEA4650637"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077948"	
"SAMEA4650638"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077949"	
"SAMEA4650639"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077950"	
"SAMEA4650640"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077951"	
"SAMEA4650641"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077952"	
"SAMEA4650642"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077953"	
"SAMEA4650643"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077954"	
"SAMEA4650644"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077955"	
"SAMEA4650645"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077956"	
"SAMEA4650646"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077957"	
"SAMEA4650647"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077958"	
"SAMEA4650648"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077959"	
"SAMEA4650649"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077960"	
"SAMEA4650650"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077961"	
"SAMEA4650651"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077962"	
"SAMEA4650652"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077963"	
"SAMEA4650653"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077964"	
"SAMEA4650654"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077965"	
"SAMEA4650655"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077966"	
"SAMEA4650656"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077967"	
"SAMEA4650657"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077968"	
"SAMEA4650658"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"primed"		"primed"		"3600STDY6077969"	
